attribute,value,reactorName
Total GWh,84773.9,OBRIGHEIM
Reactor Type,Boiling Water Reactor (or BWR),PHILIPPSBURG-1
Model,BWR-69,PHILIPPSBURG-1
Owner,EnBW Kraftwerke AG,PHILIPPSBURG-1
Operator,"EnBW Kernkraft Gmbh (Sitz In Obrigheim)",PHILIPPSBURG-1
Construction Start,"Thursday, 1 October 1970",PHILIPPSBURG-1
First Criticality,"Friday, 9 March 1979",PHILIPPSBURG-1
First Grid Connection,"Saturday, 5 May 1979",PHILIPPSBURG-1
Commercial Operation,"Wednesday, 26 March 1980",PHILIPPSBURG-1
Permanent Shutdown,"Saturday, 6 August 2011",PHILIPPSBURG-1
Capacity Net,890 MWe,PHILIPPSBURG-1
Capacity Gross,926 MWe,PHILIPPSBURG-1
Thermal Capacity,2575 MWt,PHILIPPSBURG-1
Design Net Capacity,864 MWe,PHILIPPSBURG-1
Total GWh,187093.35,PHILIPPSBURG-1
Reactor Type,Pressurised Water Reactor (or PWR),PHILIPPSBURG-2
Model,PWR,PHILIPPSBURG-2
Owner,EnBW Kraftwerke AG,PHILIPPSBURG-2
Operator,"EnBW Kernkraft Gmbh (Sitz In Obrigheim)",PHILIPPSBURG-2
Construction Start,"Thursday, 7 July 1977",PHILIPPSBURG-2
First Criticality,"Thursday, 13 December 1984",PHILIPPSBURG-2
First Grid Connection,"Monday, 17 December 1984",PHILIPPSBURG-2
Commercial Operation,"Thursday, 18 April 1985",PHILIPPSBURG-2
Permanent Shutdown,"Tuesday, 31 December 2019",PHILIPPSBURG-2
Capacity Net,1402 MWe,PHILIPPSBURG-2
Capacity Gross,1468 MWe,PHILIPPSBURG-2
Thermal Capacity,3950 MWt,PHILIPPSBURG-2
Design Net Capacity,1268 MWe,PHILIPPSBURG-2
Total GWh,357232.11,PHILIPPSBURG-2
Reactor Type,Pressurised Water Reactor (or PWR),RHEINSBERG
Model,VVER-70,RHEINSBERG
Owner,Energiewerke Nord Gmbh,RHEINSBERG
Operator,Energiewerke Nord Gmbh,RHEINSBERG
Construction Start,"Friday, 1 January 1960",RHEINSBERG
First Criticality,"Tuesday, 1 March 1966",RHEINSBERG
First Grid Connection,"Friday, 6 May 1966",RHEINSBERG
Commercial Operation,"Tuesday, 11 October 1966",RHEINSBERG
Permanent Shutdown,"Friday, 1 June 1990",RHEINSBERG
Capacity Net,62 MWe,RHEINSBERG
Capacity Gross,70 MWe,RHEINSBERG
Thermal Capacity,265 MWt,RHEINSBERG
Design Net Capacity,62 MWe,RHEINSBERG
Total GWh,0,RHEINSBERG
Reactor Type,Pressurised Water Reactor (or PWR),STADE
Model,,STADE
Owner,Kernkraftwerk Stade Gmbh,STADE
Operator,E.On Kernkraft Gmbh,STADE
Construction Start,"Friday, 1 December 1967",STADE
First Criticality,"Saturday, 8 January 1972",STADE
First Grid Connection,"Saturday, 29 January 1972",STADE
Commercial Operation,"Friday, 19 May 1972",STADE
Permanent Shutdown,"Friday, 14 November 2003",STADE
Capacity Net,640 MWe,STADE
Capacity Gross,672 MWe,STADE
Thermal Capacity,1900 MWt,STADE
Design Net Capacity,630 MWe,STADE
Total GWh,145896.36,STADE
Reactor Type,High Temperature Gas-Cooled Reactor (or HTGR),THTR-300
Model,Pebble bed reactor,THTR-300
Owner,Hochtemperatur-Kernkraftwerk Gmbh,THTR-300
Operator,Hochtemperatur-Kernkraftwerk Gmbh,THTR-300
Construction Start,"Monday, 3 May 1971",THTR-300
First Criticality,"Tuesday, 13 September 1983",THTR-300
First Grid Connection,"Saturday, 16 November 1985",THTR-300
Commercial Operation,"Monday, 1 June 1987",THTR-300
Permanent Shutdown,"Thursday, 29 September 1988",THTR-300
Capacity Net,296 MWe,THTR-300
Capacity Gross,308 MWe,THTR-300
Thermal Capacity,760 MWt,THTR-300
Design Net Capacity,296 MWe,THTR-300
Total GWh,1987.81,THTR-300
Reactor Type,Pressurised Water Reactor (or PWR),UNTERWESER
Model,PWR,UNTERWESER
Owner,E.On Kernkraft Gmbh,UNTERWESER
Operator,E.On Kernkraft Gmbh,UNTERWESER
Construction Start,"Saturday, 1 July 1972",UNTERWESER
First Criticality,"Saturday, 16 September 1978",UNTERWESER
First Grid Connection,"Friday, 29 September 1978",UNTERWESER
Commercial Operation,"Thursday, 6 September 1979",UNTERWESER
Permanent Shutdown,"Saturday, 6 August 2011",UNTERWESER
Capacity Net,1345 MWe,UNTERWESER
Capacity Gross,1410 MWe,UNTERWESER
Thermal Capacity,3900 MWt,UNTERWESER
Design Net Capacity,1230 MWe,UNTERWESER
Total GWh,289742.63,UNTERWESER
Reactor Type,Boiling Water Reactor (or BWR),VAK%20KAHL
Model,BWR,VAK%20KAHL
Owner,Versuchsatomkraftwerk Kahl Gmbh,VAK%20KAHL
Operator,Versuchsatomkraftwerk Kahl Gmbh,VAK%20KAHL
Construction Start,"Tuesday, 1 July 1958",VAK%20KAHL
First Criticality,"Sunday, 13 November 1960",VAK%20KAHL
First Grid Connection,"Saturday, 17 June 1961",VAK%20KAHL
Commercial Operation,"Thursday, 1 February 1962",VAK%20KAHL
Permanent Shutdown,"Monday, 25 November 1985",VAK%20KAHL
Capacity Net,15 MWe,VAK%20KAHL
Capacity Gross,16 MWe,VAK%20KAHL
Thermal Capacity,60 MWt,VAK%20KAHL
Design Net Capacity,15 MWe,VAK%20KAHL
Total GWh,1137.38,VAK%20KAHL
Reactor Type,Boiling Water Reactor (or BWR),WUERGASSEN
Model,,WUERGASSEN
Owner,Preussenelektra Kernkraft Gmbh&Co Kg,WUERGASSEN
Operator,Preussenelektra Kernkraft Gmbh&Co Kg,WUERGASSEN
Construction Start,"Friday, 26 January 1968",WUERGASSEN
First Criticality,"Wednesday, 20 October 1971",WUERGASSEN
First Grid Connection,"Saturday, 18 December 1971",WUERGASSEN
Commercial Operation,"Tuesday, 11 November 1975",WUERGASSEN
Permanent Shutdown,"Friday, 26 August 1994",WUERGASSEN
Capacity Net,640 MWe,WUERGASSEN
Capacity Gross,670 MWe,WUERGASSEN
Thermal Capacity,1912 MWt,WUERGASSEN
Design Net Capacity,640 MWe,WUERGASSEN
Total GWh,69682.27,WUERGASSEN
Reactor Type,Pressurised Water Reactor (or PWR),PAKS-1
Model,VVER V-213,PAKS-1
Owner,Hungarian Power Companies Ltd.,PAKS-1
Operator,"Paks Nuclear Power Plant, Ltd.",PAKS-1
Construction Start,"Thursday, 1 August 1974",PAKS-1
First Criticality,"Tuesday, 14 December 1982",PAKS-1
First Grid Connection,"Tuesday, 28 December 1982",PAKS-1
Commercial Operation,"Wednesday, 10 August 1983",PAKS-1
Capacity Net,479 MWe,PAKS-1
Capacity Gross,509 MWe,PAKS-1
Thermal Capacity,1485 MWt,PAKS-1
Design Net Capacity,408 MWe,PAKS-1
Total GWh,139024.15,PAKS-1
Reactor Type,Pressurised Water Reactor (or PWR),PAKS-2
Model,VVER V-213,PAKS-2
Owner,Hungarian Power Companies Ltd.,PAKS-2
Operator,"Paks Nuclear Power Plant, Ltd.",PAKS-2
Construction Start,"Thursday, 1 August 1974",PAKS-2
First Criticality,"Sunday, 26 August 1984",PAKS-2
First Grid Connection,"Thursday, 6 September 1984",PAKS-2
Commercial Operation,"Wednesday, 14 November 1984",PAKS-2
Capacity Net,479 MWe,PAKS-2
Capacity Gross,506 MWe,PAKS-2
Thermal Capacity,1485 MWt,PAKS-2
Design Net Capacity,410 MWe,PAKS-2
Total GWh,129823.86,PAKS-2
Reactor Type,Pressurised Water Reactor (or PWR),PAKS-3
Model,VVER V-213,PAKS-3
Owner,Hungarian Power Companies Ltd.,PAKS-3
Operator,"Paks Nuclear Power Plant, Ltd.",PAKS-3
Construction Start,"Monday, 1 October 1979",PAKS-3
First Criticality,"Monday, 15 September 1986",PAKS-3
First Grid Connection,"Sunday, 28 September 1986",PAKS-3
Commercial Operation,"Monday, 1 December 1986",PAKS-3
Capacity Net,479 MWe,PAKS-3
Capacity Gross,506 MWe,PAKS-3
Thermal Capacity,1485 MWt,PAKS-3
Design Net Capacity,410 MWe,PAKS-3
Total GWh,128818.17,PAKS-3
Reactor Type,Pressurised Water Reactor (or PWR),PAKS-4
Model,VVER V-213,PAKS-4
Owner,Hungarian Power Companies Ltd.,PAKS-4
Operator,"Paks Nuclear Power Plant, Ltd.",PAKS-4
Construction Start,"Monday, 1 October 1979",PAKS-4
First Criticality,"Sunday, 9 August 1987",PAKS-4
First Grid Connection,"Sunday, 16 August 1987",PAKS-4
Commercial Operation,"Sunday, 1 November 1987",PAKS-4
Capacity Net,479 MWe,PAKS-4
Capacity Gross,506 MWe,PAKS-4
Thermal Capacity,1485 MWt,PAKS-4
Design Net Capacity,410 MWe,PAKS-4
Total GWh,128750.16,PAKS-4
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),KAIGA-1
Model,Horizontal Pressure Tube type,KAIGA-1
Owner,Nuclear Power Corporation Of India Ltd,KAIGA-1
Operator,Nuclear Power Corporation Of India Ltd,KAIGA-1
Construction Start,"Friday, 1 September 1989",KAIGA-1
First Criticality,"Tuesday, 26 September 2000",KAIGA-1
First Grid Connection,"Thursday, 12 October 2000",KAIGA-1
Commercial Operation,"Thursday, 16 November 2000",KAIGA-1
Capacity Net,202 MWe,KAIGA-1
Capacity Gross,220 MWe,KAIGA-1
Thermal Capacity,801 MWt,KAIGA-1
Design Net Capacity,202 MWe,KAIGA-1
Total GWh,31889.01,KAIGA-1
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),KAIGA-2
Model,Horizontal Pressure Tube type,KAIGA-2
Owner,Nuclear Power Corporation Of India Ltd,KAIGA-2
Operator,Nuclear Power Corporation Of India Ltd,KAIGA-2
Construction Start,"Friday, 1 December 1989",KAIGA-2
First Criticality,"Friday, 24 September 1999",KAIGA-2
First Grid Connection,"Thursday, 2 December 1999",KAIGA-2
Commercial Operation,"Thursday, 16 March 2000",KAIGA-2
Capacity Net,202 MWe,KAIGA-2
Capacity Gross,220 MWe,KAIGA-2
Thermal Capacity,801 MWt,KAIGA-2
Design Net Capacity,202 MWe,KAIGA-2
Total GWh,32736.79,KAIGA-2
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),KAIGA-3
Model,Horizontal Pressure Tube type,KAIGA-3
Owner,Nuclear Power Corporation Of India Ltd,KAIGA-3
Operator,Nuclear Power Corporation Of India Ltd,KAIGA-3
Construction Start,"Saturday, 30 March 2002",KAIGA-3
First Criticality,"Monday, 26 February 2007",KAIGA-3
First Grid Connection,"Wednesday, 11 April 2007",KAIGA-3
Commercial Operation,"Sunday, 6 May 2007",KAIGA-3
Capacity Net,202 MWe,KAIGA-3
Capacity Gross,220 MWe,KAIGA-3
Thermal Capacity,800 MWt,KAIGA-3
Design Net Capacity,202 MWe,KAIGA-3
Total GWh,22420.23,KAIGA-3
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),KAIGA-4
Model,Horizontal Pressure Tube type,KAIGA-4
Owner,Nuclear Power Corporation Of India Ltd,KAIGA-4
Operator,Nuclear Power Corporation Of India Ltd,KAIGA-4
Construction Start,"Friday, 10 May 2002",KAIGA-4
First Criticality,"Saturday, 27 November 2010",KAIGA-4
First Grid Connection,"Wednesday, 19 January 2011",KAIGA-4
Commercial Operation,"Thursday, 20 January 2011",KAIGA-4
Capacity Net,202 MWe,KAIGA-4
Capacity Gross,220 MWe,KAIGA-4
Thermal Capacity,800 MWt,KAIGA-4
Design Net Capacity,202 MWe,KAIGA-4
Total GWh,20735.94,KAIGA-4
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),KAKRAPAR-2
Model,Horizontal Pressure Tube type,KAKRAPAR-2
Owner,Nuclear Power Corporation Of India Ltd,KAKRAPAR-2
Operator,Nuclear Power Corporation Of India Ltd,KAKRAPAR-2
Construction Start,"Monday, 1 April 1985",KAKRAPAR-2
First Criticality,"Sunday, 8 January 1995",KAKRAPAR-2
First Grid Connection,"Saturday, 4 March 1995",KAKRAPAR-2
Commercial Operation,"Friday, 1 September 1995",KAKRAPAR-2
Capacity Net,202 MWe,KAKRAPAR-2
Capacity Gross,220 MWe,KAKRAPAR-2
Thermal Capacity,801 MWt,KAKRAPAR-2
Design Net Capacity,202 MWe,KAKRAPAR-2
Total GWh,34900.97,KAKRAPAR-2
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),KAKRAPAR-3
Model,PHWR-700,KAKRAPAR-3
Owner,Nuclear Power Corporation Of India Ltd,KAKRAPAR-3
Operator,Nuclear Power Corporation Of India Ltd,KAKRAPAR-3
Construction Start,"Monday, 22 November 2010",KAKRAPAR-3
First Criticality,"Wednesday, 22 July 2020",KAKRAPAR-3
First Grid Connection,"Sunday, 10 January 2021",KAKRAPAR-3
Commercial Operation,"Friday, 30 June 2023",KAKRAPAR-3
Capacity Net,630 MWe,KAKRAPAR-3
Capacity Gross,700 MWe,KAKRAPAR-3
Thermal Capacity,2166 MWt,KAKRAPAR-3
Design Net Capacity,630 MWe,KAKRAPAR-3
Total GWh,3422.89,KAKRAPAR-3
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),KAKRAPAR-4
Model,PHWR-700,KAKRAPAR-4
Owner,Nuclear Power Corporation Of India Ltd,KAKRAPAR-4
Operator,Nuclear Power Corporation Of India Ltd,KAKRAPAR-4
Construction Start,"Monday, 22 November 2010",KAKRAPAR-4
First Criticality,"Sunday, 17 December 2023",KAKRAPAR-4
First Grid Connection,"Tuesday, 20 February 2024",KAKRAPAR-4
Commercial Operation,"Sunday, 31 March 2024",KAKRAPAR-4
Capacity Net,630 MWe,KAKRAPAR-4
Capacity Gross,700 MWe,KAKRAPAR-4
Thermal Capacity,2166 MWt,KAKRAPAR-4
Design Net Capacity,630 MWe,KAKRAPAR-4
Total GWh,0,KAKRAPAR-4
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),KAKRAPAR-1
Model,Horizontal Pressure Tube type,KAKRAPAR-1
Owner,Nuclear Power Corporation Of India Ltd,KAKRAPAR-1
Operator,Nuclear Power Corporation Of India Ltd,KAKRAPAR-1
Construction Start,"Saturday, 1 December 1984",KAKRAPAR-1
First Criticality,"Thursday, 3 September 1992",KAKRAPAR-1
First Grid Connection,"Tuesday, 24 November 1992",KAKRAPAR-1
Commercial Operation,"Thursday, 6 May 1993",KAKRAPAR-1
Capacity Net,202 MWe,KAKRAPAR-1
Capacity Gross,220 MWe,KAKRAPAR-1
Thermal Capacity,801 MWt,KAKRAPAR-1
Design Net Capacity,202 MWe,KAKRAPAR-1
Total GWh,32704,KAKRAPAR-1
Reactor Type,Pressurised Water Reactor (or PWR),KUDANKULAM-1
Model,VVER V-412,KUDANKULAM-1
Owner,Nuclear Power Corporation Of India Ltd,KUDANKULAM-1
Operator,Nuclear Power Corporation Of India Ltd,KUDANKULAM-1
Construction Start,"Sunday, 31 March 2002",KUDANKULAM-1
First Criticality,"Saturday, 13 July 2013",KUDANKULAM-1
First Grid Connection,"Tuesday, 22 October 2013",KUDANKULAM-1
Commercial Operation,"Wednesday, 31 December 2014",KUDANKULAM-1
Capacity Net,932 MWe,KUDANKULAM-1
Capacity Gross,1000 MWe,KUDANKULAM-1
Thermal Capacity,3000 MWt,KUDANKULAM-1
Design Net Capacity,917 MWe,KUDANKULAM-1
Total GWh,49289.29,KUDANKULAM-1
Reactor Type,Pressurised Water Reactor (or PWR),KUDANKULAM-2
Model,VVER V-412,KUDANKULAM-2
Owner,Nuclear Power Corporation Of India Ltd,KUDANKULAM-2
Operator,Nuclear Power Corporation Of India Ltd,KUDANKULAM-2
Construction Start,"Thursday, 4 July 2002",KUDANKULAM-2
First Criticality,"Sunday, 10 July 2016",KUDANKULAM-2
First Grid Connection,"Monday, 29 August 2016",KUDANKULAM-2
Commercial Operation,"Friday, 31 March 2017",KUDANKULAM-2
Capacity Net,932 MWe,KUDANKULAM-2
Capacity Gross,1000 MWe,KUDANKULAM-2
Thermal Capacity,3000 MWt,KUDANKULAM-2
Design Net Capacity,917 MWe,KUDANKULAM-2
Total GWh,36229.44,KUDANKULAM-2
Reactor Type,Pressurised Water Reactor (or PWR),KUDANKULAM-3
Model,VVER V-412,KUDANKULAM-3
Owner,Nuclear Power Corporation Of India Ltd,KUDANKULAM-3
Operator,Nuclear Power Corporation Of India Ltd,KUDANKULAM-3
Construction Start,"Thursday, 29 June 2017",KUDANKULAM-3
Capacity Net,917 MWe,KUDANKULAM-3
Capacity Gross,1000 MWe,KUDANKULAM-3
Thermal Capacity,3000 MWt,KUDANKULAM-3
Design Net Capacity,917 MWe,KUDANKULAM-3
Total GWh,0,KUDANKULAM-3
Reactor Type,Pressurised Water Reactor (or PWR),KUDANKULAM-4
Model,VVER V-412,KUDANKULAM-4
Owner,Nuclear Power Corporation Of India Ltd,KUDANKULAM-4
Operator,Nuclear Power Corporation Of India Ltd,KUDANKULAM-4
Construction Start,"Monday, 23 October 2017",KUDANKULAM-4
Capacity Net,917 MWe,KUDANKULAM-4
Capacity Gross,1000 MWe,KUDANKULAM-4
Thermal Capacity,3000 MWt,KUDANKULAM-4
Design Net Capacity,917 MWe,KUDANKULAM-4
Total GWh,0,KUDANKULAM-4
Reactor Type,Pressurised Water Reactor (or PWR),KUDANKULAM-5
Model,VVER V-412,KUDANKULAM-5
Owner,Nuclear Power Corporation Of India Ltd,KUDANKULAM-5
Operator,Nuclear Power Corporation Of India Ltd,KUDANKULAM-5
Construction Start,"Tuesday, 29 June 2021",KUDANKULAM-5
Capacity Net,917 MWe,KUDANKULAM-5
Capacity Gross,1000 MWe,KUDANKULAM-5
Thermal Capacity,3000 MWt,KUDANKULAM-5
Design Net Capacity,917 MWe,KUDANKULAM-5
Total GWh,0,KUDANKULAM-5
Reactor Type,Pressurised Water Reactor (or PWR),KUDANKULAM-6
Model,VVER V-412,KUDANKULAM-6
Owner,Nuclear Power Corporation Of India Ltd,KUDANKULAM-6
Operator,Nuclear Power Corporation Of India Ltd,KUDANKULAM-6
Construction Start,"Monday, 20 December 2021",KUDANKULAM-6
Capacity Net,917 MWe,KUDANKULAM-6
Capacity Gross,1000 MWe,KUDANKULAM-6
Thermal Capacity,3000 MWt,KUDANKULAM-6
Design Net Capacity,917 MWe,KUDANKULAM-6
Total GWh,0,KUDANKULAM-6
Reactor Type,Fast Reactor (or FBR),PFBR
Model,Prototype,PFBR
Owner,Bharatiya Nabhikiya Vidyut Nigam Limited,PFBR
Operator,Bharatiya Nabhikiya Vidyut Nigam Limited,PFBR
Construction Start,"Saturday, 23 October 2004",PFBR
Capacity Net,470 MWe,PFBR
Capacity Gross,500 MWe,PFBR
Thermal Capacity,1253 MWt,PFBR
Design Net Capacity,470 MWe,PFBR
Total GWh,0,PFBR
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),MADRAS-1
Model,Horizontal Pressure Tube type,MADRAS-1
Owner,Nuclear Power Corporation Of India Ltd,MADRAS-1
Operator,Nuclear Power Corporation Of India Ltd,MADRAS-1
Construction Start,"Friday, 1 January 1971",MADRAS-1
First Criticality,"Saturday, 2 July 1983",MADRAS-1
First Grid Connection,"Saturday, 23 July 1983",MADRAS-1
Commercial Operation,"Friday, 27 January 1984",MADRAS-1
Long-term Shutdown,"Tuesday, 30 January 2018",MADRAS-1
Capacity Net,205 MWe,MADRAS-1
Capacity Gross,220 MWe,MADRAS-1
Thermal Capacity,801 MWt,MADRAS-1
Design Net Capacity,202 MWe,MADRAS-1
Total GWh,30917.32,MADRAS-1
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),MADRAS-2
Model,Horizontal Pressure Tube type,MADRAS-2
Owner,Nuclear Power Corporation Of India Ltd,MADRAS-2
Operator,Nuclear Power Corporation Of India Ltd,MADRAS-2
Construction Start,"Sunday, 1 October 1972",MADRAS-2
First Criticality,"Monday, 12 August 1985",MADRAS-2
First Grid Connection,"Friday, 20 September 1985",MADRAS-2
Commercial Operation,"Friday, 21 March 1986",MADRAS-2
Capacity Net,205 MWe,MADRAS-2
Capacity Gross,220 MWe,MADRAS-2
Thermal Capacity,801 MWt,MADRAS-2
Design Net Capacity,202 MWe,MADRAS-2
Total GWh,39359.01,MADRAS-2
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),NARORA-1
Model,Horizontal Pressure Tube type,NARORA-1
Owner,Nuclear Power Corporation Of India Ltd,NARORA-1
Operator,Nuclear Power Corporation Of India Ltd,NARORA-1
Construction Start,"Wednesday, 1 December 1976",NARORA-1
First Criticality,"Sunday, 12 March 1989",NARORA-1
First Grid Connection,"Saturday, 29 July 1989",NARORA-1
Commercial Operation,"Tuesday, 1 January 1991",NARORA-1
Capacity Net,202 MWe,NARORA-1
Capacity Gross,220 MWe,NARORA-1
Thermal Capacity,801 MWt,NARORA-1
Design Net Capacity,202 MWe,NARORA-1
Total GWh,36179.07,NARORA-1
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),NARORA-2
Model,Horizontal Pressure Tube type,NARORA-2
Owner,Nuclear Power Corporation Of India Ltd,NARORA-2
Operator,Nuclear Power Corporation Of India Ltd,NARORA-2
Construction Start,"Tuesday, 1 November 1977",NARORA-2
First Criticality,"Thursday, 24 October 1991",NARORA-2
First Grid Connection,"Sunday, 5 January 1992",NARORA-2
Commercial Operation,"Wednesday, 1 July 1992",NARORA-2
Capacity Net,202 MWe,NARORA-2
Capacity Gross,220 MWe,NARORA-2
Thermal Capacity,801 MWt,NARORA-2
Design Net Capacity,202 MWe,NARORA-2
Total GWh,36068.14,NARORA-2
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),RAJASTHAN-3
Model,Horizontal Pressure Tube type,RAJASTHAN-3
Owner,Nuclear Power Corporation Of India Ltd,RAJASTHAN-3
Operator,Nuclear Power Corporation Of India Ltd,RAJASTHAN-3
Construction Start,"Thursday, 1 February 1990",RAJASTHAN-3
First Criticality,"Friday, 24 December 1999",RAJASTHAN-3
First Grid Connection,"Friday, 10 March 2000",RAJASTHAN-3
Commercial Operation,"Thursday, 1 June 2000",RAJASTHAN-3
Capacity Net,202 MWe,RAJASTHAN-3
Capacity Gross,220 MWe,RAJASTHAN-3
Thermal Capacity,801 MWt,RAJASTHAN-3
Design Net Capacity,202 MWe,RAJASTHAN-3
Total GWh,30749.51,RAJASTHAN-3
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),RAJASTHAN-4
Model,Horizontal Pressure Tube type,RAJASTHAN-4
Owner,Nuclear Power Corporation Of India Ltd,RAJASTHAN-4
Operator,Nuclear Power Corporation Of India Ltd,RAJASTHAN-4
Construction Start,"Monday, 1 October 1990",RAJASTHAN-4
First Criticality,"Friday, 3 November 2000",RAJASTHAN-4
First Grid Connection,"Friday, 17 November 2000",RAJASTHAN-4
Commercial Operation,"Saturday, 23 December 2000",RAJASTHAN-4
Capacity Net,202 MWe,RAJASTHAN-4
Capacity Gross,220 MWe,RAJASTHAN-4
Thermal Capacity,801 MWt,RAJASTHAN-4
Design Net Capacity,202 MWe,RAJASTHAN-4
Total GWh,32429.8,RAJASTHAN-4
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),RAJASTHAN-5
Model,Horizontal Pressure Tube type,RAJASTHAN-5
Owner,Nuclear Power Corporation Of India Ltd,RAJASTHAN-5
Operator,Nuclear Power Corporation Of India Ltd,RAJASTHAN-5
Construction Start,"Wednesday, 18 September 2002",RAJASTHAN-5
First Criticality,"Tuesday, 24 November 2009",RAJASTHAN-5
First Grid Connection,"Tuesday, 22 December 2009",RAJASTHAN-5
Commercial Operation,"Thursday, 4 February 2010",RAJASTHAN-5
Capacity Net,202 MWe,RAJASTHAN-5
Capacity Gross,220 MWe,RAJASTHAN-5
Thermal Capacity,801 MWt,RAJASTHAN-5
Design Net Capacity,202 MWe,RAJASTHAN-5
Total GWh,22656.12,RAJASTHAN-5
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),RAJASTHAN-6
Model,Horizontal Pressure Tube type,RAJASTHAN-6
Owner,Nuclear Power Corporation Of India Ltd,RAJASTHAN-6
Operator,Nuclear Power Corporation Of India Ltd,RAJASTHAN-6
Construction Start,"Monday, 20 January 2003",RAJASTHAN-6
First Criticality,"Saturday, 23 January 2010",RAJASTHAN-6
First Grid Connection,"Sunday, 28 March 2010",RAJASTHAN-6
Commercial Operation,"Wednesday, 31 March 2010",RAJASTHAN-6
Capacity Net,202 MWe,RAJASTHAN-6
Capacity Gross,220 MWe,RAJASTHAN-6
Thermal Capacity,801 MWt,RAJASTHAN-6
Design Net Capacity,202 MWe,RAJASTHAN-6
Total GWh,20139.26,RAJASTHAN-6
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),RAJASTHAN-7
Model,Horizontal Pressure Tube type,RAJASTHAN-7
Owner,Nuclear Power Corporation Of India Ltd,RAJASTHAN-7
Operator,Nuclear Power Corporation Of India Ltd,RAJASTHAN-7
Construction Start,"Monday, 18 July 2011",RAJASTHAN-7
First Criticality,"Thursday, 19 September 2024",RAJASTHAN-7
Capacity Net,630 MWe,RAJASTHAN-7
Capacity Gross,700 MWe,RAJASTHAN-7
Thermal Capacity,2177 MWt,RAJASTHAN-7
Design Net Capacity,630 MWe,RAJASTHAN-7
Total GWh,0,RAJASTHAN-7
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),RAJASTHAN-8
Model,Horizontal Pressure Tube type,RAJASTHAN-8
Owner,Nuclear Power Corporation Of India Ltd,RAJASTHAN-8
Operator,Nuclear Power Corporation Of India Ltd,RAJASTHAN-8
Construction Start,"Friday, 30 September 2011",RAJASTHAN-8
Capacity Net,630 MWe,RAJASTHAN-8
Capacity Gross,700 MWe,RAJASTHAN-8
Thermal Capacity,2177 MWt,RAJASTHAN-8
Design Net Capacity,630 MWe,RAJASTHAN-8
Total GWh,0,RAJASTHAN-8
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),RAJASTHAN-1
Model,Horizontal Pressure Tube type,RAJASTHAN-1
Owner,Nuclear Power Corporation Of India Ltd,RAJASTHAN-1
Operator,Nuclear Power Corporation Of India Ltd,RAJASTHAN-1
Construction Start,"Sunday, 1 August 1965",RAJASTHAN-1
First Criticality,"Friday, 11 August 1972",RAJASTHAN-1
First Grid Connection,"Thursday, 30 November 1972",RAJASTHAN-1
Commercial Operation,"Sunday, 16 December 1973",RAJASTHAN-1
Long-term Shutdown,"Saturday, 9 October 2004",RAJASTHAN-1
Capacity Net,134 MWe,RAJASTHAN-1
Capacity Gross,100 MWe,RAJASTHAN-1
Thermal Capacity,346 MWt,RAJASTHAN-1
Design Net Capacity,207 MWe,RAJASTHAN-1
Total GWh,10138.39,RAJASTHAN-1
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),RAJASTHAN-2
Model,Horizontal Pressure Tube type,RAJASTHAN-2
Owner,Nuclear Power Corporation Of India Ltd,RAJASTHAN-2
Operator,Nuclear Power Corporation Of India Ltd,RAJASTHAN-2
Construction Start,"Monday, 1 April 1968",RAJASTHAN-2
First Criticality,"Wednesday, 8 October 1980",RAJASTHAN-2
First Grid Connection,"Saturday, 1 November 1980",RAJASTHAN-2
